NOME	GRANDE_AREA	AREA	SUB_AREA	ESPECIALIDADE
FABIANO SALVADORI	Engenharias	Engenharia Elétrica	Eletrônica Industrial Sistemas e Controles Eletrônicos	Controle de Processos Eletrônicos Retroalimentação
JUAN MOISES MAURICIO VILLANUEVA	Engenharias	Engenharia Elétrica	Eletrônica Industrial Sistemas e Controles Eletrônicos	Controle de Processos Eletrônicos Retroalimentação
CAMILA SEIBEL GEHRKE	Engenharias	Engenharia Elétrica	Eletrônica Industrial Sistemas e Controles Eletrônicos	Eletrônica Industrial
DARLAN ALEXANDRIA FERNANDES	Engenharias	Engenharia Elétrica	Eletrônica Industrial Sistemas e Controles Eletrônicos	Eletrônica Industrial
ISAAC SOARES DE FREITAS	Engenharias	Engenharia Elétrica	Eletrônica Industrial Sistemas e Controles Eletrônicos	Eletrônica Industrial
NADY ROCHA	Engenharias	Engenharia Elétrica	Eletrônica Industrial Sistemas e Controles Eletrônicos	Eletrônica Industrial
ROMERO LEANDRO ANDERSEN	Engenharias	Engenharia Elétrica	Eletrônica Industrial Sistemas e Controles Eletrônicos	Eletrônica Industrial
VICTOR FELIPE MOURA BEZERRA MELO	Engenharias	Engenharia Elétrica	Eletrônica Industrial Sistemas e Controles Eletrônicos	Eletrônica Industrial
CLEONILSON PROTASIO DE SOUZA	Engenharias	Engenharia Elétrica	Materiais Elétricos	Materiais Dielétricos Piezoelétricos e Ferroelétricos
JOSE FELIX DA SILVA NETO	Engenharias	Engenharia Elétrica	Materiais Elétricos	nan
ABEL CAVALCANTE LIMA FILHO	Engenharias	Engenharia Elétrica	Medidas Elétricas Magnéticas e Eletrônicas Instrumentação	Instrumentação Eletrônica
EULER CASSIO TAVARES DE MACEDO	Engenharias	Engenharia Elétrica	Medidas Elétricas Magnéticas e Eletrônicas Instrumentação	nan
ITALO ROGER FERREIRA MORENO PINHEIRO DA SILVA	Engenharias	Engenharia Elétrica	Sistemas Elétricos de Potência	Conversão e Retificação da Energia Elétrica
FELIPE VIGOLVINO LOPES	Engenharias	Engenharia Elétrica	Sistemas Elétricos de Potência	Medição Controle Correção e Proteção de Sistemas Elétricos  de Potência
FABRICIO BRAGA SOARES DE CARVALHO	Engenharias	Engenharia Elétrica	Telecomunicações	Sistemas deTelecomunicações
CRISTIANE KELLY FERREIRA DA SILVA	Engenharias	Engenharia Mecânica	Engenharia Térmica	Aproveitamento da Energia
FRANCISCO ANTONIO BELO	Engenharias	Engenharia Mecânica	Engenharia Térmica	Aproveitamento da Energia
JOSE MAURICIO ALVES DE MATOS GURGEL	Engenharias	Engenharia Mecânica	Engenharia Térmica	Aproveitamento da Energia
MONICA CARVALHO	Engenharias	Engenharia Mecânica	Engenharia Térmica	Controle Ambiental
RAPHAEL ABRAHAO	Engenharias	Engenharia Mecânica	Engenharia Térmica	Controle Ambiental
ADRIANO DA SILVA MARQUES	Engenharias	Engenharia Mecânica	Engenharia Térmica	Termodinâmica
TAYNARA GEYSA SILVA DO LAGO	Engenharias	Engenharia Mecânica	Engenharia Térmica	Termodinâmica
GILBERTO AUGUSTO AMADO MOREIRA	Engenharias	Engenharia Mecânica	Fenômenos de Transporte	Mecânica dos Fluídos
FABIANO CORDEIRO CAVALCANTI	Engenharias	Engenharia Mecânica	Fenômenos de Transporte	Transferência de Calor
GUSTAVO CHARLES PEIXOTO DE OLIVEIRA	Engenharias	Engenharia Mecânica	Fenômenos de Transporte	nan
MARCELO CAVALCANTI RODRIGUES	Engenharias	Engenharia Mecânica	Mecânica dos Sólidos	Dinâmica dos Corpos Rígidos Elásticos e Plásticos
CRISTIANA DOS SANTOS NUNES	Engenharias	Engenharia Mecânica	Processos de Fabricação	Processos de Fabricação Seleção Econômica
RAFAEL EVARISTO CALUÊTE	Engenharias	Engenharia Mecânica	Processos de Fabricação	Processos de Fabricação Seleção Econômica
ARIOSTON ARAUJO DE MORAIS JUNIOR	Engenharias	Engenharia Química	Operações Industriais e Equipamentos para Engenharia Química	Operações de Separação e Mistura
GENARO ZENAIDE CLERICUZI	Engenharias	Engenharia Química	Operações Industriais e Equipamentos para Engenharia Química	Operações de Separação e Mistura
LEOPOLDO OSWALDO ALCAZAR ROJAS	Engenharias	Engenharia Química	Operações Industriais e Equipamentos para Engenharia Química	Reatores Químicos
CARLOS ALBERTO BISPO DE SOUSA	Engenharias	Engenharia Química	Processos Industriais de Engenharia Química	Processos Bioquímicos
FLAVIO LUIZ HONORATO DA SILVA	Engenharias	Engenharia Química	Processos Industriais de Engenharia Química	Processos Bioquímicos
